2025-04-11,Class,Tag,Tag_2,Mark,area_m2,Mass,weighing_date,mass_during_flight
2025-04-11,wean,GM815,GM497,,0.4759,123.6,2025-03-11,
2025-04-11,wean,GM425,,,0.4393,134.4,2025-02-15,
2025-04-11,wean,GM711,,,0.4513,118.8,2025-02-28,
2025-04-11,wean,GM497,GM815,,0.4626,123.6,2025-03-11,
2025-04-11,wean,GM435,,,0.4051,131.2,2025-02-18,
2025-04-11,wean,GM585,,,0.4658,123.6,2025-02-06,
2025-04-11,wean,GM579,,,0.4867,140.2,2025-02-26,
2025-04-11,wean,GM563,,,0.4143,125.4,2025-02-24,
2025-04-11,wean,GM570,,,0.4945,127.6,2025-02-25,
2025-04-11,wean,GM425,,,0.4693,134.4,2025-02-15,
2025-03-11,wean,GM815,,,0.5573,123.6,2025-03-11,
2025-03-11,wean,GM815,,,0.5133,123.6,2025-03-11,
2025-03-11,wean,GM407,,,0.3307,114.6,2025-03-08,
2025-03-11,wean,GM313,,,0.4843,87,2025-03-11,
2025-03-11,wean,GM627,,,0.5793,139.6,2024-03-04,
2025-03-11,wean,GM472,,,0.5626,110.2,2025-03-06,
2025-03-11,wean,GM583,,,0.5112,141,2025-02-26,
2025-03-11,wean,GM552,,,0.5559,152,2025-02-24,
2025-03-11,wean,GM637,,,0.5609,142.4,2025-03-05,
2025-03-01,wean,GM736,GM737,A15 R,0.3932,91,2025-03-01,
2025-03-01,AM,,,J903,2.8787,,,
2025-03-01,AM,,,J218,2.6976,,,
2025-03-01,AM,,,L607,2.4909,,,
2025-03-01,AM,,,J364,3.0649,,,
2025-03-01,AM,,,G827,2.6923,,,
2025-03-01,AM,,,G818,3.3047,,,
